"raw_name","standard_name","official_label","category","documentation_source","documentation_status"
"FLX_ANN_MOI","flx_ann_moi","Année et Mois de Traitement","PERIODE DE TRAITEMENT","Dictionnaire Open DAMIR","Documentée"
"ORG_CLE_REG","org_cle_reg","Région de l'Organisme de Liquidation à partir de 2015 (tables A)","ORGANISME","Dictionnaire Open DAMIR","Documentée"
"AGE_BEN_SNDS","age_ben_snds","Tranche d'Age Bénéficiaire au moment des soins","BENEFICIAIRE","Dictionnaire Open DAMIR","Documentée"
"BEN_RES_REG","ben_res_reg","Région de Résidence du Bénéficiaire à partir de 2015 (tables A)","BENEFICIAIRE","Dictionnaire Open DAMIR","Documentée"
"BEN_CMU_TOP","ben_cmu_top","Top Bénéficiaire CMU-C","BENEFICIAIRE","Dictionnaire Open DAMIR","Documentée"
"BEN_QLT_COD","ben_qlt_cod","Qualité du Bénéficiaire","BENEFICIAIRE","Dictionnaire Open DAMIR","Documentée"
"BEN_SEX_COD","ben_sex_cod","Sexe du Bénéficiaire","BENEFICIAIRE","Dictionnaire Open DAMIR","Documentée"
"DDP_SPE_COD","ddp_spe_cod","Discipline de Prestation Etb Exécutant","EXECUTANT","Dictionnaire Open DAMIR","Documentée"
"ETE_CAT_SNDS","ete_cat_snds","Catégorie Etb Exécutant","EXECUTANT","Dictionnaire Open DAMIR","Documentée"
"ETE_REG_COD","ete_reg_cod","Région d'Implantation Etb Exécutant à partir de 2015 (tables A)","EXECUTANT","Dictionnaire Open DAMIR","Documentée"
"ETE_TYP_SNDS","ete_typ_snds","Type Etb Exécutant","EXECUTANT","Dictionnaire Open DAMIR","Documentée"
"ETP_REG_COD","etp_reg_cod","Région d'Implantation Etb Prescripteur à partir de 2015 (tables A)","PRESCRIPTEUR","Dictionnaire Open DAMIR","Documentée"
"ETP_CAT_SNDS","etp_cat_snds","Catégorie Etb Prescripteur","PRESCRIPTEUR","Dictionnaire Open DAMIR","Documentée"
"MDT_TYP_COD","mdt_typ_cod","Mode de Traitement Etb Exécutant","EXECUTANT","Dictionnaire Open DAMIR","Documentée"
"MFT_COD","mft_cod","Mode de Fixation des Tarifs Etb Exécutant","EXECUTANT","Dictionnaire Open DAMIR","Documentée"
"PRS_FJH_TYP","prs_fjh_typ","Type de Prise en Charge Forfait Journalier","PRESTATION","Dictionnaire Open DAMIR","Documentée"
"PRS_ACT_COG","prs_act_cog","Coefficient Global","INDICATEURS BRUTS","Dictionnaire Open DAMIR","Documentée"
"PRS_ACT_NBR","prs_act_nbr","Dénombrement","INDICATEURS BRUTS","Dictionnaire Open DAMIR","Documentée"
"PRS_ACT_QTE","prs_act_qte","Quantité","INDICATEURS BRUTS","Dictionnaire Open DAMIR","Documentée"
"PRS_DEP_MNT","prs_dep_mnt","Montant du Dépassement","INDICATEURS BRUTS","Dictionnaire Open DAMIR","Documentée"
"PRS_PAI_MNT","prs_pai_mnt","Montant de la Dépense","INDICATEURS BRUTS","Dictionnaire Open DAMIR","Documentée"
"PRS_REM_BSE","prs_rem_bse","Base de Remboursement","INDICATEURS BRUTS","Dictionnaire Open DAMIR","Documentée"
"PRS_REM_MNT","prs_rem_mnt","Montant Versé/Remboursé","INDICATEURS BRUTS","Dictionnaire Open DAMIR","Documentée"
"FLT_ACT_COG","flt_act_cog","Coefficient Global de la Prestation Préfiltré","INDICATEURS PREFILTRES","Dictionnaire Open DAMIR","Documentée"
"FLT_ACT_NBR","flt_act_nbr","Dénombrement de la Prestation Préfiltré","INDICATEURS PREFILTRES","Dictionnaire Open DAMIR","Documentée"
"FLT_ACT_QTE","flt_act_qte","Quantité de la Prestation Préfiltrée","INDICATEURS PREFILTRES","Dictionnaire Open DAMIR","Documentée"
"FLT_PAI_MNT","flt_pai_mnt","Montant de la Dépense de la Prestation Préfiltrée","INDICATEURS PREFILTRES","Dictionnaire Open DAMIR","Documentée"
"FLT_DEP_MNT","flt_dep_mnt","Montant du Dépassement de la Prestation Préfiltré","INDICATEURS PREFILTRES","Dictionnaire Open DAMIR","Documentée"
"FLT_REM_MNT","flt_rem_mnt","Montant Versé/Remboursé Préfiltré","INDICATEURS PREFILTRES","Dictionnaire Open DAMIR","Documentée"
"SOI_ANN","soi_ann","Année de Soins","PERIODE","Dictionnaire Open DAMIR","Documentée"
"SOI_MOI","soi_moi","Mois de Soins","PERIODE","Dictionnaire Open DAMIR","Documentée"
"ASU_NAT","asu_nat","Nature d'Assurance","PRESTATION","Dictionnaire Open DAMIR","Documentée"
"ATT_NAT","att_nat","Nature de l'Accident du Travail","PRESTATION","Dictionnaire Open DAMIR","Documentée"
"CPL_COD","cpl_cod","Complément d'Acte","PRESTATION","Dictionnaire Open DAMIR","Documentée"
"CPT_ENV_TYP","cpt_env_typ","Type d'Enveloppe","PRESTATION","Dictionnaire Open DAMIR","Documentée"
"DRG_AFF_NAT","drg_aff_nat","Nature du Destinataire de Règlement affiné","PRESTATION","Dictionnaire Open DAMIR","Documentée"
"ETE_IND_TAA","ete_ind_taa","Indicateur TAA Privé/Public","PRESTATION","Dictionnaire Open DAMIR","Documentée"
"EXO_MTF","exo_mtf","Motif d'Exonération du Ticket Modérateur","PRESTATION","Dictionnaire Open DAMIR","Documentée"
"MTM_NAT","mtm_nat","Modulation du Ticket Modérateur","BENEFICIAIRE","Dictionnaire Open DAMIR","Documentée"
"PRS_NAT","prs_nat","Nature de Prestation","PRESTATION","Dictionnaire Open DAMIR","Documentée"
"PRS_PPU_SEC","prs_ppu_sec","Code Secteur Privé/Public","PRESTATION","Dictionnaire Open DAMIR","Documentée"
"PRS_REM_TAU","prs_rem_tau","Taux de Remboursement","PRESTATION","Dictionnaire Open DAMIR","Documentée"
"PRS_REM_TYP","prs_rem_typ","Type de Remboursement","PRESTATION","Dictionnaire Open DAMIR","Documentée"
"PRS_PDS_QCP","prs_pds_qcp","Code Qualificatif Parcours de Soins (sortie)","PRESTATION","Dictionnaire Open DAMIR","Documentée"
"EXE_INS_REG","exe_ins_reg","Région du PS Exécutant à partir de 2015 (tables A)","EXECUTANT","Dictionnaire Open DAMIR","Documentée"
"PSE_ACT_SNDS","pse_act_snds","Nature d'Activité PS Exécutant","EXECUTANT","Dictionnaire Open DAMIR","Documentée"
"PSE_ACT_CAT","pse_act_cat","Catégorie de l' Exécutant","EXECUTANT","Dictionnaire Open DAMIR","Documentée"
"PSE_SPE_SNDS","pse_spe_snds","Spécialité Médicale PS Exécutant","EXECUTANT","Dictionnaire Open DAMIR","Documentée"
"PSE_STJ_SNDS","pse_stj_snds","Statut Juridique PS Exécutant","EXECUTANT","Dictionnaire Open DAMIR","Documentée"
"PRE_INS_REG","pre_ins_reg","Région du PS Prescripteur à partir de 2015 (tables A)","PRESCRIPTEUR","Dictionnaire Open DAMIR","Documentée"
"PSP_ACT_SNDS","psp_act_snds","Nature d'Activité PS Prescripteur","PRESCRIPTEUR","Dictionnaire Open DAMIR","Documentée"
"PSP_ACT_CAT","psp_act_cat","Catégorie du Prescripteur","PRESCRIPTEUR","Dictionnaire Open DAMIR","Documentée"
"PSP_SPE_SNDS","psp_spe_snds","Spécialité médicale PS prescripteur","PRESCRIPTEUR","Dictionnaire Open DAMIR - libellé corrigé","Documentée"
"PSP_STJ_SNDS","psp_stj_snds","Statut Juridique PS Prescripteur","PRESCRIPTEUR","Dictionnaire Open DAMIR","Documentée"
"TOP_PS5_TRG","top_ps5_trg","Top Périmètre hors CMU C et prestations pour information","TOP PS5","Dictionnaire Open DAMIR","Documentée"
"ETB_DCS_MCO","etb_dcs_mco","Domaine d'activité","EXECUTANT","Documentation SNDS - ER_ETE_F","Documentée"
"source_file","source_file","Fichier source","TECHNIQUE","Projet","Technique"
