"column_name","column_type","min","max","approx_unique","avg","std","q25","q50","q75","count","null_percentage"
"FLX_ANN_MOI","VARCHAR","202501","202501",1,,,,,,36640259,0
"ORG_CLE_REG","VARCHAR","11","99",12,,,,,,36640259,0
"AGE_BEN_SNDS","VARCHAR","0","99",10,,,,,,36640259,0
"BEN_RES_REG","VARCHAR","11","99",12,,,,,,36640259,0
"BEN_CMU_TOP","VARCHAR","0","9",4,,,,,,36640259,0
"BEN_QLT_COD","VARCHAR","1","9",5,,,,,,36640259,0
"BEN_SEX_COD","VARCHAR","0","2",3,,,,,,36640259,0
"DDP_SPE_COD","VARCHAR","0","93",31,,,,,,36640259,0
"ETE_CAT_SNDS","VARCHAR","1101","9999",43,,,,,,36640259,0
"ETE_REG_COD","VARCHAR","11","99",12,,,,,,36640259,0
"ETE_TYP_SNDS","VARCHAR","1","99",5,,,,,,36640259,0
"ETP_REG_COD","VARCHAR","11","99",12,,,,,,36640259,0
"ETP_CAT_SNDS","VARCHAR","1101","9999",52,,,,,,36640259,0
"MDT_TYP_COD","VARCHAR","1","9",4,,,,,,36640259,0
"MFT_COD","VARCHAR","1","99",20,,,,,,36640259,0
"PRS_FJH_TYP","VARCHAR","0","8",5,,,,,,36640259,0
"PRS_ACT_COG","VARCHAR","-.01","9999.7",139475,,,,,,36640259,0
"PRS_ACT_NBR","VARCHAR","-1","9998",21892,,,,,,36640259,10.05
"PRS_ACT_QTE","VARCHAR","-1","9999",24458,,,,,,36640259,0
"PRS_DEP_MNT","VARCHAR","-.01","9999.9",121230,,,,,,36640259,0
"PRS_PAI_MNT","VARCHAR","-.01","99999.11",681065,,,,,,36640259,0
"PRS_REM_BSE","VARCHAR","-.01","99995.44",703489,,,,,,36640259,0
"PRS_REM_MNT","VARCHAR","-.01","9999.96",618149,,,,,,36640259,0
"FLT_ACT_COG","VARCHAR","-.01","9999.7",137202,,,,,,36640259,0
"FLT_ACT_NBR","VARCHAR","-1","9998",21054,,,,,,36640259,9.16
"FLT_ACT_QTE","VARCHAR","-1","9999",23397,,,,,,36640259,0
"FLT_PAI_MNT","VARCHAR","-.01","99999.11",664699,,,,,,36640259,0
"FLT_DEP_MNT","VARCHAR","-.01","9999.9",121230,,,,,,36640259,0
"FLT_REM_MNT","VARCHAR","-.01","9999.96",618149,,,,,,36640259,0
"SOI_ANN","VARCHAR","0000","2025",29,,,,,,36640259,0
"SOI_MOI","VARCHAR","00","12",15,,,,,,36640259,0
"ASU_NAT","VARCHAR","10","90",7,,,,,,36640259,0
"ATT_NAT","VARCHAR","0","3",4,,,,,,36640259,0
"CPL_COD","VARCHAR","0","3",4,,,,,,36640259,0
"CPT_ENV_TYP","VARCHAR","0","9",7,,,,,,36640259,0
"DRG_AFF_NAT","VARCHAR","11","99",20,,,,,,36640259,0
"ETE_IND_TAA","VARCHAR","0","9",4,,,,,,36640259,0
"EXO_MTF","VARCHAR","0","99",22,,,,,,36640259,0
"MTM_NAT","VARCHAR","0","9",6,,,,,,36640259,0
"PRS_NAT","VARCHAR","1038","9999",811,,,,,,36640259,0
"PRS_PPU_SEC","VARCHAR","1","2",2,,,,,,36640259,0
"PRS_REM_TAU","VARCHAR",".14","999",2724,,,,,,36640259,0
"PRS_REM_TYP","VARCHAR","0","99",9,,,,,,36640259,0
"PRS_PDS_QCP","VARCHAR","0","8",22,,,,,,36640259,0
"EXE_INS_REG","VARCHAR","11","99",12,,,,,,36640259,0
"PSE_ACT_SNDS","VARCHAR","0","99",13,,,,,,36640259,0
"PSE_ACT_CAT","VARCHAR","0","99",10,,,,,,36640259,0
"PSE_SPE_SNDS","VARCHAR","0","99",27,,,,,,36640259,0
"PSE_STJ_SNDS","VARCHAR","1","9",4,,,,,,36640259,0
"PRE_INS_REG","VARCHAR","11","99",12,,,,,,36640259,0
"PSP_ACT_SNDS","VARCHAR","0","99",13,,,,,,36640259,0
"PSP_ACT_CAT","VARCHAR","0","99",10,,,,,,36640259,0
"PSP_SPE_SNDS","VARCHAR","0","99",27,,,,,,36640259,0
"PSP_STJ_SNDS","VARCHAR","1","9",4,,,,,,36640259,0
"TOP_PS5_TRG","VARCHAR","0","9",3,,,,,,36640259,0
"ETB_DCS_MCO","VARCHAR","C","Z",10,,,,,,36640259,0
"source_file","VARCHAR","C:\Users\iama\OneDrive - Ospharm\sauvegarde\Document personnel\Projet\DATA SCIENTIST\segmentation-prescripteurs-open-damir\data\raw\A202501.csv.gz","C:\Users\iama\OneDrive - Ospharm\sauvegarde\Document personnel\Projet\DATA SCIENTIST\segmentation-prescripteurs-open-damir\data\raw\A202501.csv.gz",1,,,,,,36640259,0
