"column_name","column_type","min","max","approx_unique","avg","std","q25","q50","q75","count","null_percentage"
"flx_ann_moi","INTEGER","202501","202501",1,"202501.0","0.0","202501","202501","202501",36640259,0
"org_cle_reg","VARCHAR","11","99",12,NA,NA,NA,NA,NA,36640259,0
"age_ben_snds","VARCHAR","0","99",10,NA,NA,NA,NA,NA,36640259,0
"ben_res_reg","VARCHAR","11","99",12,NA,NA,NA,NA,NA,36640259,0
"ben_cmu_top","VARCHAR","0","9",4,NA,NA,NA,NA,NA,36640259,0
"ben_qlt_cod","VARCHAR","1","9",5,NA,NA,NA,NA,NA,36640259,0
"ben_sex_cod","VARCHAR","0","2",3,NA,NA,NA,NA,NA,36640259,0
"ddp_spe_cod","VARCHAR","0","93",31,NA,NA,NA,NA,NA,36640259,0
"ete_cat_snds","VARCHAR","1101","9999",43,NA,NA,NA,NA,NA,36640259,0
"ete_reg_cod","VARCHAR","11","99",12,NA,NA,NA,NA,NA,36640259,0
"ete_typ_snds","VARCHAR","1","99",5,NA,NA,NA,NA,NA,36640259,0
"etp_reg_cod","VARCHAR","11","99",12,NA,NA,NA,NA,NA,36640259,0
"etp_cat_snds","VARCHAR","1101","9999",52,NA,NA,NA,NA,NA,36640259,0
"mdt_typ_cod","VARCHAR","1","9",4,NA,NA,NA,NA,NA,36640259,0
"mft_cod","VARCHAR","1","99",20,NA,NA,NA,NA,NA,36640259,0
"prs_fjh_typ","VARCHAR","0","8",5,NA,NA,NA,NA,NA,36640259,0
"prs_act_cog","DOUBLE","-1237500.0","4384007.0",122564,"91.8524494993318","4380.639315041229","1.0","2.028619287214858","9.004625905822168",36640259,0
"prs_act_nbr","DOUBLE","-8407.0","829588.0",17677,"33.904157814475056","1125.5204181406684","1.0","2.0","5.999749102381041",36640259,10.05
"prs_act_qte","DOUBLE","-10043.0","829588.0",19126,"35.06742646115029","1323.657685657474","1.0","2.0","5.931524878582527",36640259,0
"prs_dep_mnt","DOUBLE","-94196.37","1970565.61",117671,"26.772701485817038","1599.4774186437953","0.0","0.0","0.0",36640259,0
"prs_pai_mnt","DOUBLE","-1135738.0","24357307.39",696882,"443.0506383995238","11633.310847314431","1.9818351280648663","18.120679143434238","83.43293816981422",36640259,0
"prs_rem_bse","DOUBLE","-1135738.0","24357307.39",539210,"339.3545754594339","10895.23147813969","0.016040911482041197","9.209588653050044","59.92392606718948",36640259,0
